Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Goals_per_Match,Goals_per_90,Assists_per_Match,Assists_per_90,Goal_Contribution_per_90
Helder Costa,Leeds United,POR,"MF,FW",26,22,13,1156,3,3,0.13636363636363635,0.23356401384083045,0.13636363636363635,0.23356401384083045,0.4671280276816609
Robin Koch,Leeds United,GER,"DF,MF",24,17,13,1132,0,0,0.0,0.0,0.0,0.0,0.0
Jamie Shackleton,Leeds United,ENG,"MF,DF",20,13,3,461,0,0,0.0,0.0,0.0,0.0,0.0
Pablo Hernandez,Leeds United,ESP,MF,35,16,3,427,0,2,0.0,0.0,0.125,0.4215456674473068,0.4215456674473068
Kiko Casilla,Leeds United,ESP,GK,33,3,3,270,0,0,0.0,0.0,0.0,0.0,0.0
Gaetano Berardi,Leeds United,SUI,DF,31,2,1,113,0,0,0.0,0.0,0.0,0.0,0.0
Ian Carlo Poveda,Leeds United,ENG,"MF,DF",20,14,0,355,0,0,0.0,0.0,0.0,0.0,0.0
Niall Huggins,Leeds United,WAL,DF,19,1,0,38,0,0,0.0,0.0,0.0,0.0,0.0
Leif Davis,Leeds United,ENG,DF,20,2,0,33,0,0,0.0,0.0,0.0,0.0,0.0
Michael Keane,Everton,ENG,DF,27,35,33,2991,3,1,0.08571428571428572,0.09027081243731194,0.02857142857142857,0.03009027081243731,0.12036108324974924
Richarlison,Everton,BRA,FW,23,34,33,2861,7,3,0.20588235294117646,0.22020272631946872,0.08823529411764706,0.09437259699405803,0.3145753233135267
Dominic Calvert-Lewin,Everton,ENG,FW,23,33,32,2871,16,0,0.48484848484848486,0.5015673981191223,0.0,0.0,0.5015673981191223
Jordan Pickford,Everton,ENG,GK,26,31,31,2742,0,0,0.0,0.0,0.0,0.0,0.0
Lucas Digne,Everton,FRA,DF,27,30,30,2681,0,7,0.0,0.0,0.23333333333333334,0.2349869451697128,0.2349869451697128
Ben Godfrey,Everton,ENG,DF,22,31,29,2685,0,2,0.0,0.0,0.06451612903225806,0.0670391061452514,0.0670391061452514
Abdoulaye Doucouré,Everton,FRA,MF,27,29,29,2443,2,3,0.06896551724137931,0.07367990176013099,0.10344827586206896,0.11051985264019647,0.18419975440032746
Mason Holgate,Everton,ENG,DF,23,28,26,2287,1,0,0.03571428571428571,0.03935286401399213,0.0,0.0,0.03935286401399213
Gylfi Sigurðsson,Everton,ISL,MF,30,36,24,2253,6,5,0.16666666666666666,0.2396804260985353,0.1388888888888889,0.1997336884154461,0.4394141145139814
Allan,Everton,BRA,MF,29,24,23,2051,0,0,0.0,0.0,0.0,0.0,0.0
Yerry Mina,Everton,COL,DF,25,24,23,1937,2,0,0.08333333333333333,0.09292720702116676,0.0,0.0,0.09292720702116676
James Rodriguez,Everton,COL,"FW,MF",29,23,21,1764,6,4,0.2608695652173913,0.30612244897959184,0.17391304347826086,0.20408163265306123,0.5102040816326531
Seamus Coleman,Everton,IRL,"DF,MF",31,25,18,1613,0,3,0.0,0.0,0.12,0.16738995660260383,0.16738995660260383
André Gomes,Everton,POR,MF,27,28,17,1570,0,1,0.0,0.0,0.03571428571428571,0.057324840764331204,0.057324840764331204
Alex Iwobi,Everton,NGA,"FW,DF",24,30,17,1542,1,2,0.03333333333333333,0.058365758754863814,0.06666666666666667,0.11673151750972763,0.17509727626459143
Tom Davies,Everton,ENG,MF,22,25,17,1423,0,1,0.0,0.0,0.04,0.06324666198172874,0.06324666198172874
Robin Olsen,Everton,SWE,GK,30,7,7,630,0,0,0.0,0.0,0.0,0.0,0.0
Bernard,Everton,BRA,"MF,FW",27,12,3,455,1,0,0.08333333333333333,0.1978021978021978,0.0,0.0,0.1978021978021978
Fabian Delph,Everton,ENG,"MF,DF",30,8,2,266,0,0,0.0,0.0,0.0,0.0,0.0
Anthony Gordon,Everton,ENG,"FW,MF",19,3,1,88,0,0,0.0,0.0,0.0,0.0,0.0
Niels Nkounkou,Everton,FRA,"DF,FW",19,2,1,81,0,0,0.0,0.0,0.0,0.0,0.0
Jonjoe Kenny,Everton,ENG,DF,23,4,1,79,0,0,0.0,0.0,0.0,0.0,0.0
Joshua King,Everton,NOR,"MF,FW",28,11,0,148,0,0,0.0,0.0,0.0,0.0,0.0
Cenk Tosun,Everton,TUR,FW,29,5,0,48,0,0,0.0,0.0,0.0,0.0,0.0
Joao Virginia,Everton,POR,GK,20,1,0,48,0,0,0.0,0.0,0.0,0.0,0.0
Moise Kean,Everton,ITA,FW,20,2,0,15,0,0,0.0,0.0,0.0,0.0,0.0
Theo Walcott,Everton,ENG,FW,31,1,0,13,0,0,0.0,0.0,0.0,0.0,0.0
Jean-Philippe Gbamin,Everton,CIV,MF,24,1,0,12,0,0,0.0,0.0,0.0,0.0,0.0
Nathan Broadhead,Everton,WAL,MF,22,1,0,3,0,0,0.0,0.0,0.0,0.0,0.0
Emiliano Martinez,Aston Villa,ARG,GK,27,38,38,3420,0,0,0.0,0.0,0.0,0.0,0.0
Matt Targett,Aston Villa,ENG,DF,24,38,38,3404,0,2,0.0,0.0,0.05263157894736842,0.052878965922444184,0.052878965922444184
John McGinn,Aston Villa,SCO,MF,25,37,37,3330,3,5,0.08108108108108109,0.08108108108108109,0.13513513513513514,0.13513513513513514,0.2162162162162162
Ollie Watkins,Aston Villa,ENG,FW,24,37,37,3328,14,5,0.3783783783783784,0.3786057692307692,0.13513513513513514,0.13521634615384617,0.5138221153846153
Tyrone Mings,Aston Villa,ENG,DF,27,36,36,3194,2,2,0.05555555555555555,0.056355666875391355,0.05555555555555555,0.056355666875391355,0.11271133375078271
Ezri Konsa,Aston Villa,ENG,DF,22,36,35,3196,2,0,0.05555555555555555,0.056320400500625784,0.0,0.0,0.056320400500625784
Douglas Luiz,Aston Villa,BRA,MF,22,33,32,2781,0,2,0.0,0.0,0.06060606060606061,0.06472491909385113,0.06472491909385113
Bertrand Traore,Aston Villa,BFA,FW,24,36,29,2317,7,6,0.19444444444444445,0.2719033232628399,0.16666666666666666,0.23305999136814848,0.5049633146309883
Matty Cash,Aston Villa,ENG,DF,22,28,28,2372,0,2,0.0,0.0,0.07142857142857142,0.07588532883642496,0.07588532883642496
Jack Grealish,Aston Villa,ENG,"FW,MF",24,26,24,2185,6,10,0.23076923076923078,0.24713958810068648,0.38461538461538464,0.41189931350114417,0.6590389016018307
Ross Barkley,Aston Villa,ENG,MF,26,24,18,1531,3,1,0.125,0.17635532331809275,0.041666666666666664,0.05878510777269758,0.23514043109079033
Anwar El Ghazi,Aston Villa,NED,FW,25,28,17,1613,10,0,0.35714285714285715,0.5579665220086795,0.0,0.0,0.5579665220086795
Trézéguet,Aston Villa,EGY,FW,25,21,12,1166,2,1,0.09523809523809523,0.15437392795883362,0.047619047619047616,0.07718696397941681,0.23156089193825044
Marvelous Nakamba,Aston Villa,ZIM,MF,26,13,9,749,0,0,0.0,0.0,0.0,0.0,0.0
Ahmed Elmohamady,Aston Villa,EGY,DF,32,14,8,839,0,0,0.0,0.0,0.0,0.0,0.0
Kortney Hause,Aston Villa,ENG,DF,25,7,7,630,1,0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285
Jacob Ramsey,Aston Villa,ENG,MF,19,22,6,626,0,0,0.0,0.0,0.0,0.0,0.0
Morgan Sanson,Aston Villa,FRA,MF,25,9,3,294,0,0,0.0,0.0,0.0,0.0,0.0
Conor Hourihane,Aston Villa,IRL,MF,29,4,3,225,1,1,0.25,0.4,0.25,0.4,0.8
Keinan Davis,Aston Villa,ENG,"FW,MF",22,15,1,277,1,1,0.06666666666666667,0.3249097472924188,0.06666666666666667,0.3249097472924188,0.6498194945848376
Carney Chukwuemeka,Aston Villa,ENG,"FW,MF",16,2,0,20,0,0,0.0,0.0,0.0,0.0,0.0
Wesley Moraes,Aston Villa,BRA,"MF,FW",23,3,0,18,0,0,0.0,0.0,0.0,0.0,0.0
Neil Taylor,Aston Villa,WAL,DF,31,1,0,16,0,0,0.0,0.0,0.0,0.0,0.0
Jaden Philogene Bidace,Aston Villa,ENG,FW,18,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Jonjo Shelvey,Newcastle United,ENG,MF,28,30,29,2617,1,3,0.03333333333333333,0.03439052350019106,0.1,0.10317157050057317,0.13756209400076425
Miguel almiron ,Newcastle United,PAR,"MF,FW",26,34,28,2429,4,1,0.11764705882352941,0.14820913956360643,0.029411764705882353,0.03705228489090161,0.18526142445450802
Karl Darlow,Newcastle United,ENG,GK,29,25,25,2250,0,0,0.0,0.0,0.0,0.0,0.0
Federico Fernandez,Newcastle United,ARG,DF,31,24,24,2079,0,0,0.0,0.0,0.0,0.0,0.0
Callum Wilson,Newcastle United,ENG,FW,28,26,23,2084,12,5,0.46153846153846156,0.5182341650671786,0.19230769230769232,0.21593090211132435,0.7341650671785028
Joelinton,Newcastle United,BRA,"FW,MF",23,31,23,1983,4,2,0.12903225806451613,0.18154311649016644,0.06451612903225806,0.09077155824508322,0.2723146747352496
Isaac Hayden,Newcastle United,ENG,"MF,DF",25,24,22,1942,0,0,0.0,0.0,0.0,0.0,0.0
Ciaran Clark,Newcastle United,IRL,DF,30,22,21,1891,1,0,0.045454545454545456,0.047593865679534636,0.0,0.0,0.047593865679534636
Jamal Lewis,Newcastle United,NIR,DF,22,24,20,1837,0,1,0.0,0.0,0.041666666666666664,0.048992923244420256,0.048992923244420256
Jamaal Lascelles,Newcastle United,ENG,DF,26,19,19,1625,2,0,0.10526315789473684,0.11076923076923077,0.0,0.0,0.11076923076923077
Allan Saint-Maximin,Newcastle United,FRA,"FW,MF",23,25,19,1560,3,4,0.12,0.17307692307692307,0.16,0.23076923076923078,0.4038461538461538
Jacob Murphy,Newcastle United,ENG,"DF,MF",25,26,17,1626,2,3,0.07692307692307693,0.11070110701107011,0.11538461538461539,0.16605166051660517,0.2767527675276753
Jeff Hendrick,Newcastle United,IRL,MF,28,22,17,1422,2,1,0.09090909090909091,0.12658227848101267,0.045454545454545456,0.06329113924050633,0.18987341772151897
Sean Longstaff,Newcastle United,ENG,MF,22,22,15,1412,0,1,0.0,0.0,0.045454545454545456,0.06373937677053824,0.06373937677053824
Matt Ritchie,Newcastle United,SCO,"DF,MF",30,18,15,1350,0,2,0.0,0.0,0.1111111111111111,0.13333333333333333,0.13333333333333333
Emil Krafth,Newcastle United,SWE,DF,25,16,14,1288,1,0,0.0625,0.06987577639751552,0.0,0.0,0.06987577639751552
Paul Dummett,Newcastle United,WAL,DF,28,15,14,1255,1,0,0.06666666666666667,0.07171314741035857,0.0,0.0,0.07171314741035857
Fabian Schär,Newcastle United,SUI,DF,28,18,13,1246,1,0,0.05555555555555555,0.07223113964686999,0.0,0.0,0.07223113964686999
martin dubravka,Newcastle United,SVK,GK,31,13,13,1170,0,0,0.0,0.0,0.0,0.0,0.0
Joe Willock,Newcastle United,ENG,MF,20,14,11,978,8,0,0.5714285714285714,0.736196319018405,0.0,0.0,0.736196319018405
Javier Manquillo,Newcastle United,ESP,DF,26,13,10,825,0,0,0.0,0.0,0.0,0.0,0.0
Ryan Fraser,Newcastle United,SCO,"FW,MF",26,18,9,928,0,2,0.0,0.0,0.1111111111111111,0.1939655172413793,0.1939655172413793
DeAndre Yedlin,Newcastle United,USA,DF,27,6,5,436,0,0,0.0,0.0,0.0,0.0,0.0
Dwight Gayle,Newcastle United,ENG,"FW,MF",29,18,4,514,1,1,0.05555555555555555,0.17509727626459143,0.05555555555555555,0.17509727626459143,0.35019455252918286
Andy Carroll,Newcastle United,ENG,FW,31,18,4,392,1,0,0.05555555555555555,0.22959183673469385,0.0,0.0,0.22959183673469385
Matthew Longstaff,Newcastle United,ENG,MF,20,5,4,377,0,0,0.0,0.0,0.0,0.0,0.0
Elliot Anderson,Newcastle United,SCO,MF,17,1,0,4,0,0,0.0,0.0,0.0,0.0,0.0
Rui Patricio,Wolverhampton Wanderers,POR,GK,32,37,37,3329,0,0,0.0,0.0,0.0,0.0,0.0
Conor Coady,Wolverhampton Wanderers,ENG,DF,27,37,37,3303,1,0,0.02702702702702703,0.027247956403269755,0.0,0.0,0.027247956403269755
Nelson Semedo,Wolverhampton Wanderers,POR,DF,26,34,34,2983,1,1,0.029411764705882353,0.030170968823332218,0.029411764705882353,0.030170968823332218,0.060341937646664436
Ruben Neves,Wolverhampton Wanderers,POR,MF,23,36,31,2675,5,1,0.1388888888888889,0.16822429906542058,0.027777777777777776,0.03364485981308411,0.20186915887850468
Pedro Neto,Wolverhampton Wanderers,POR,"FW,MF",20,31,30,2550,5,6,0.16129032258064516,0.1764705882352941,0.1935483870967742,0.2117647058823529,0.388235294117647
Adama Traore,Wolverhampton Wanderers,ESP,FW,24,37,28,2649,2,2,0.05405405405405406,0.06795016987542468,0.05405405405405406,0.06795016987542468,0.13590033975084936
Joao Moutinho,Wolverhampton Wanderers,POR,MF,33,33,28,2528,1,1,0.030303030303030304,0.03560126582278481,0.030303030303030304,0.03560126582278481,0.07120253164556962
Leander Dendoncker,Wolverhampton Wanderers,BEL,"MF,DF",25,33,28,2503,1,0,0.030303030303030304,0.03595685177786656,0.0,0.0,0.03595685177786656
